plantname,classification,image_path
Tilia,Dicotiledónea,extracted_images/image124.jpg
Oxalis,Dicotiledánea,extracted_images/image125.jpg
Geranium,Dicotiledónea,extracted_images/image126.jpg
Erodium,Dicotiledánea,extracted_images/image127.jpg
Aesculus hippocastanum,Dicotiledónea,extracted_images/image128.jpg
Acer,Dicotiledónea,extracted_images/image129.jpg
Ilex aquifolium,Dicotiledónea,extracted_images/image130.jpg
Hedera helix,Dicotiledónea,extracted_images/image131.jpg
Phoeniculum vulgare,Dicotiledónea,extracted_images/image132.jpg
Daucus carota,Dicotiledónea,extracted_images/image133.jpg
Primula,Dicotiledónea,extracted_images/image134.jpg
Sambucus,Dicotiledónea,extracted_images/image135.jpg
Catalpa bignonioides,Dicotiledónea,extracted_images/image136.jpg
Rhododendron,Dicotiledónea,extracted_images/image137.jpg
Daboecia,Dicotiledónea,extracted_images/image138.jpg
Arbutus unedo,Dicotiledóneas,extracted_images/image139.jpg
Erica,Dicotiledónea,extracted_images/image140.jpg
Calluna,Dicotiledónea,extracted_images/image141.jpg
Convolvulus,Dicotiledónea,extracted_images/image142.jpg
Ipomea,Dicotiledónea,extracted_images/image143.jpg
Echium,Dicotiledónea,extracted_images/image144.jpg
Lithospermum,Dicotiledónea,extracted_images/image145.jpg
Anchusa,Dicotiledónea,extracted_images/image146.jpg
Solanum,Dicotiledónea,extracted_images/image147.jpg
Linaria,Dicotiledónea,extracted_images/image148.jpg
Digitalis,Dicotiledánea,extracted_images/image149.jpg
Plantago,Dicotiledónea,extracted_images/image150.jpg
Narium oleander,Dicotiledónea,extracted_images/image151.jpg
Lavandula,Dicotiledónea,extracted_images/image152.jpg
Mentha,Dicotiledónea,extracted_images/image153.jpg
Salvia,Dicotiledónea,extracted_images/image154.jpg
Olea europea,Dicotiledónea,extracted_images/image155.jpg
Fraxinus,Dicotiledónea,extracted_images/image156.jpg
Galium,Dicotiledónea,extracted_images/image157.jpg
Verbena officinalis,Dicotiledónea,extracted_images/image158.jpg
Taraxacum dens-leonis,Dicotiledónea,extracted_images/image159.jpg
Bellis perennis,Dicotiledónea,extracted_images/image160.jpg
Chrysanthemum,Dicotiledónea,extracted_images/image161.jpg
Senecio,Dicotiledónea,extracted_images/image162.jpg
Cardus,Dicotiledónea,extracted_images/image163.jpg
Cichorium,Dicotiledónea,extracted_images/image164.jpg
Centaurea,Dicotiledónea,extracted_images/image165.jpg
"Thymus vulgaris

Tomillo","Dicotiledónea

C VISU I",extracted_images/image166.jpg
Hypericum perforatum,"Dicotiledónea

C VISU I",extracted_images/image167.jpg
"Equisetum ramosissimum

Cola de caballo","Dicotiledónea

C VISU I",extracted_images/image168.jpg
Elaeagnus angustifolia,"Dicotiledónea

C VISU II",extracted_images/image169.jpg
Narcissus,Monocotiledónea,extracted_images/image170.jpg
Iris,Monocotiledónea,extracted_images/image171.jpg
Allium,Monocotiledonea,extracted_images/image172.jpg
Tulipa,Monocotiledónea,extracted_images/image173.jpg
Ruscus aculeatus,"Monocotiledónea 

R II",extracted_images/image174.jpg
Juncus,Monocotiledónea,extracted_images/image175.jpg
Musa paradisiaca,Monocotiledónea,extracted_images/image176.jpg
Cyperus,Monocotiledónea,extracted_images/image177.jpg
Triticum,Monocotiledónea,extracted_images/image178.jpg
Secale cereale,Monocotiledónea,extracted_images/image179.jpg
Zea mays,Monocotiledónea,extracted_images/image180.jpg
Hordeum,Monocotiledónea,extracted_images/image181.jpg
Dactylis,Monocotiledónea,extracted_images/image182.jpg
Lolium,Monocotiledónea,extracted_images/image183.jpg
Avena,Monocotiledónea,extracted_images/image184.jpg
Holcus lanatus,Monocotiledónea,extracted_images/image185.jpg
Cynodon dactylon,Monocotiledónea,extracted_images/image186.jpg
Poa,Monocotiledónea,extracted_images/image187.jpg
Agrostis (césped),Monocotiledónea,extracted_images/image188.jpg
Briza,Monocotiledónea,extracted_images/image189.jpg
Bromus,Monocotiledónea,extracted_images/image190.jpg
Festuca,Monocotiledónea,extracted_images/image191.jpg
Lemna,Monocotiledónea,extracted_images/image192.jpg
Typha latifolia,Monocotiledónea,extracted_images/image193.jpg
"Lathraea clandestina

Calzones de cuquiellu",R II,extracted_images/image194.jpg
